"name","Type","Value","RefId","rule_refid","eval_refid","evalType","propname","propiid"
"NCCPI - Growing Season <100 FFD Wetness (Soybeans)","not_null_and","0","43041","47449","43041","ArbitraryLinear","GENERAL INDICATOR MLRA DURING <100 FFD (SOYBEANS)","35981"
"NCCPI_Soy - Log Ksat Minimum LEP 0 to 50cm Above BD too High","not_null_and","0","63773","57964","63773","ArbitraryCurve","LOG KSAT MINIMUM LEP 0 TO 50CM ABOVE BD TOO HIGH","14377"
"NCCPI_Soy - Log Ksat Minimum LEP 0 to 50cm Above EC >= 8.01","not_null_and","0","63774","57964","63774","ArbitraryCurve","LOG KSAT MINIMUM LEP 0 TO 50cm ABOVE EC >=16","14378"
"NCCPI_Soy - Log Ksat Minimum LEP 0 to 50cm Above Restriction","null_not_rated","0","63775","57964","63775","ArbitraryCurve","LOG KSAT MINIMUM LEP 0 TO 50cm ABOVE RESTRICTIVE LAYER","14372"
"NCCPI_Soy - Log Ksat Minimum LEP 0 to 50cm Above pH <= 3.5","not_null_and","0","63776","57964","63776","ArbitraryCurve","LOG KSAT MINIMUM LEP 0 TO 50cm ABOVE PH <= 3.5","14379"
"NCCPI_Soy - Log Ksat Minimum LEP 50 to 100cm Above BD High","null_or","0","63777","57965","63777","ArbitraryCurve","LOG KSAT MINIMUM LEP 50 TO 100cm ABOVE BD TOO HIGH","14380"
"NCCPI_Soy - Log Ksat Minimum LEP 50 to 100cm Above EC High","null_or","0","63778","57965","63778","ArbitraryCurve","LOG KSAT MINIMUM LEP 50 TO 100cm ABOVE EC >=16","14381"
"NCCPI_Soy - Log Ksat Minimum LEP 50 to 100cm Above Restrict","null_or","0","63779","57965","63779","ArbitraryCurve","LOG KSAT MINIMUM LEP 50 TO 100cm ABOVE RESTRICTIVE LAYER","14375"
"NCCPI_Soy - Log Ksat Minimum LEP 50 to 100cm Above pH <= 3.5","null_or","0","63780","57965","63780","ArbitraryCurve","LOG KSAT MINIMUM LEP 50 TO 100cm ABOVE PH <= 3.5","14382"
"NCCPI_Soy - Log Ksat Minimum LEP 100 to 150cm Above BD High","null_or","0","63781","57966","63781","ArbitraryCurve","LOG KSAT MINIMUM LEP 100 TO 150cm ABOVE BD TOO HIGH","14383"
"NCCPI_Soy - Log Ksat Minimum LEP 100 to 150cm Above EC High","null_or","0","63782","57966","63782","ArbitraryCurve","LOG KSAT MINIMUM LEP 100 TO 150cm ABOVE EC >=16","14384"
"NCCPI_Soy - Log Ksat Minimum LEP 100 to 150cm Above Restrict","null_or","0","63783","57966","63783","ArbitraryCurve","LOG KSAT MINIMUM LEP 100 TO 150cm ABOVE RESTRICTIVE LAYER","14374"
